Urgency,Category,Issue,Affected URL,Details,Recommended Action
CRITICAL,Metadata,Missing <title> tag,https://www.amipi.com/My-Wishlist/,,"How to Fix:
On https://www.amipi.com/My-Wishlist/, replace the current title value using the page-specific recommendation already generated: https://www.amipi.com/My-Wishlist/ currently has no <title> tag. Recommended title (19 characters): ""My Wishlist | AMIPI"". This gives the page a specific search result headline based on its content and keeps the title close to the recommended display length.

What It Should Be:
A unique SEO title close to 50-60 characters, containing the primary page topic and brand.

Suggested Replacement:
My Wishlist | AMIPI"
CRITICAL,Performance,Very slow response time: 15683ms,https://www.amipi.com,,"How to Fix:
On https://www.amipi.com, optimize the exact resource or page metric identified by the audit: https://www.amipi.com is slow at crawl time. Current value: Very slow response time:  15683ms. Cache the generated HTML for this page, reduce backend/database work for its route, and serve static assets through the CDN. The immediate target is under 1000ms response time, with critical pages ideally below 500ms.

What It Should Be:
Crawl-time response below 1000ms, with important landing pages ideally below 500ms.

Suggested Replacement:
Exact replacement content is Data Not Available for this issue; use the page-specific steps and ideal value above."
CRITICAL,Performance,Very slow response time: 17859ms,https://www.amipi.com,,"How to Fix:
On https://www.amipi.com, optimize the exact resource or page metric identified by the audit: https://www.amipi.com is slow at crawl time. Current value: Very slow response time:  17859ms. Cache the generated HTML for this page, reduce backend/database work for its route, and serve static assets through the CDN. The immediate target is under 1000ms response time, with critical pages ideally below 500ms.

What It Should Be:
Crawl-time response below 1000ms, with important landing pages ideally below 500ms.

Suggested Replacement:
Exact replacement content is Data Not Available for this issue; use the page-specific steps and ideal value above."
CRITICAL,Performance,Very slow response time: 8700ms,https://www.amipi.com/,,"How to Fix:
On https://www.amipi.com/, optimize the exact resource or page metric identified by the audit: https://www.amipi.com/ is slow at crawl time. Current value: Very slow response time:  8700ms. Cache the generated HTML for this page, reduce backend/database work for its route, and serve static assets through the CDN. The immediate target is under 1000ms response time, with critical pages ideally below 500ms.

What It Should Be:
Crawl-time response below 1000ms, with important landing pages ideally below 500ms.

Suggested Replacement:
Exact replacement content is Data Not Available for this issue; use the page-specific steps and ideal value above."
CRITICAL,Performance,Very slow response time: 6240ms,https://www.amipi.com/,,"How to Fix:
On https://www.amipi.com/, optimize the exact resource or page metric identified by the audit: https://www.amipi.com/ is slow at crawl time. Current value: Very slow response time:  6240ms. Cache the generated HTML for this page, reduce backend/database work for its route, and serve static assets through the CDN. The immediate target is under 1000ms response time, with critical pages ideally below 500ms.

What It Should Be:
Crawl-time response below 1000ms, with important landing pages ideally below 500ms.

Suggested Replacement:
Exact replacement content is Data Not Available for this issue; use the page-specific steps and ideal value above."
CRITICAL,Performance,Very slow response time: 15514ms,https://www.amipi.com//sell/,,"How to Fix:
On https://www.amipi.com//sell/, optimize the exact resource or page metric identified by the audit: https://www.amipi.com//sell/ is slow at crawl time. Current value: Very slow response time:  15514ms. Cache the generated HTML for this page, reduce backend/database work for its route, and serve static assets through the CDN. The immediate target is under 1000ms response time, with critical pages ideally below 500ms.

What It Should Be:
Crawl-time response below 1000ms, with important landing pages ideally below 500ms.

Suggested Replacement:
Exact replacement content is Data Not Available for this issue; use the page-specific steps and ideal value above."
CRITICAL,Performance,Very slow response time: 6971ms,https://www.amipi.com//sell/,,"How to Fix:
On https://www.amipi.com//sell/, optimize the exact resource or page metric identified by the audit: https://www.amipi.com//sell/ is slow at crawl time. Current value: Very slow response time:  6971ms. Cache the generated HTML for this page, reduce backend/database work for its route, and serve static assets through the CDN. The immediate target is under 1000ms response time, with critical pages ideally below 500ms.

What It Should Be:
Crawl-time response below 1000ms, with important landing pages ideally below 500ms.

Suggested Replacement:
Exact replacement content is Data Not Available for this issue; use the page-specific steps and ideal value above."
CRITICAL,Performance,Very slow response time: 5605ms,https://www.amipi.com/Contact-Us/,,"How to Fix:
On https://www.amipi.com/Contact-Us/, optimize the exact resource or page metric identified by the audit: https://www.amipi.com/Contact-Us/ is slow at crawl time. Current value: Very slow response time:  5605ms. Cache the generated HTML for this page, reduce backend/database work for its route, and serve static assets through the CDN. The immediate target is under 1000ms response time, with critical pages ideally below 500ms.

What It Should Be:
Crawl-time response below 1000ms, with important landing pages ideally below 500ms.

Suggested Replacement:
Exact replacement content is Data Not Available for this issue; use the page-specific steps and ideal value above."
CRITICAL,Performance,Very slow response time: 7208ms,https://www.amipi.com/Contact-Us/,,"How to Fix:
On https://www.amipi.com/Contact-Us/, optimize the exact resource or page metric identified by the audit: https://www.amipi.com/Contact-Us/ is slow at crawl time. Current value: Very slow response time:  7208ms. Cache the generated HTML for this page, reduce backend/database work for its route, and serve static assets through the CDN. The immediate target is under 1000ms response time, with critical pages ideally below 500ms.

What It Should Be:
Crawl-time response below 1000ms, with important landing pages ideally below 500ms.

Suggested Replacement:
Exact replacement content is Data Not Available for this issue; use the page-specific steps and ideal value above."
CRITICAL,Performance,Very slow response time: 4434ms,https://www.amipi.com/My-Cart/,,"How to Fix:
On https://www.amipi.com/My-Cart/, optimize the exact resource or page metric identified by the audit: https://www.amipi.com/My-Cart/ is slow at crawl time. Current value: Very slow response time:  4434ms. Cache the generated HTML for this page, reduce backend/database work for its route, and serve static assets through the CDN. The immediate target is under 1000ms response time, with critical pages ideally below 500ms.

What It Should Be:
Crawl-time response below 1000ms, with important landing pages ideally below 500ms.

Suggested Replacement:
Exact replacement content is Data Not Available for this issue; use the page-specific steps and ideal value above."
