Urgency,Category,Issue,Affected URL,Details,Recommended Action
CRITICAL,Metadata,Missing <title> tag,https://www.amipi.com/My-Wishlist/,,"https://www.amipi.com/My-Wishlist/ currently has no <title> tag. Recommended title (19 characters): ""My Wishlist | AMIPI"". This gives the page a specific search result headline based on its content and keeps the title close to the recommended display length."
CRITICAL,Performance,Very slow response time: 13620ms,https://www.amipi.com,,"https://www.amipi.com is slow at crawl time. Current value: Very slow response time:  13620ms. Cache the generated HTML for this page, reduce backend/database work for its route, and serve static assets through the CDN. The immediate target is under 1000ms response time, with critical pages ideally below 500ms."
CRITICAL,Performance,Very slow response time: 13050ms,https://www.amipi.com,,"https://www.amipi.com is slow at crawl time. Current value: Very slow response time:  13050ms. Cache the generated HTML for this page, reduce backend/database work for its route, and serve static assets through the CDN. The immediate target is under 1000ms response time, with critical pages ideally below 500ms."
CRITICAL,Performance,Very slow response time: 4623ms,https://www.amipi.com/,,"https://www.amipi.com/ is slow at crawl time. Current value: Very slow response time:  4623ms. Cache the generated HTML for this page, reduce backend/database work for its route, and serve static assets through the CDN. The immediate target is under 1000ms response time, with critical pages ideally below 500ms."
CRITICAL,Performance,Very slow response time: 5003ms,https://www.amipi.com/,,"https://www.amipi.com/ is slow at crawl time. Current value: Very slow response time:  5003ms. Cache the generated HTML for this page, reduce backend/database work for its route, and serve static assets through the CDN. The immediate target is under 1000ms response time, with critical pages ideally below 500ms."
CRITICAL,Performance,Very slow response time: 5244ms,https://www.amipi.com//sell/,,"https://www.amipi.com//sell/ is slow at crawl time. Current value: Very slow response time:  5244ms. Cache the generated HTML for this page, reduce backend/database work for its route, and serve static assets through the CDN. The immediate target is under 1000ms response time, with critical pages ideally below 500ms."
CRITICAL,Performance,Very slow response time: 5519ms,https://www.amipi.com//sell/,,"https://www.amipi.com//sell/ is slow at crawl time. Current value: Very slow response time:  5519ms. Cache the generated HTML for this page, reduce backend/database work for its route, and serve static assets through the CDN. The immediate target is under 1000ms response time, with critical pages ideally below 500ms."
CRITICAL,Performance,Very slow response time: 5567ms,https://www.amipi.com/Contact-Us/,,"https://www.amipi.com/Contact-Us/ is slow at crawl time. Current value: Very slow response time:  5567ms. Cache the generated HTML for this page, reduce backend/database work for its route, and serve static assets through the CDN. The immediate target is under 1000ms response time, with critical pages ideally below 500ms."
CRITICAL,Performance,Very slow response time: 6126ms,https://www.amipi.com/Contact-Us/,,"https://www.amipi.com/Contact-Us/ is slow at crawl time. Current value: Very slow response time:  6126ms. Cache the generated HTML for this page, reduce backend/database work for its route, and serve static assets through the CDN. The immediate target is under 1000ms response time, with critical pages ideally below 500ms."
CRITICAL,Performance,Very slow response time: 5272ms,https://www.amipi.com/My-Cart/,,"https://www.amipi.com/My-Cart/ is slow at crawl time. Current value: Very slow response time:  5272ms. Cache the generated HTML for this page, reduce backend/database work for its route, and serve static assets through the CDN. The immediate target is under 1000ms response time, with critical pages ideally below 500ms."
